"session";"sessionStart";"sessionEnd";"distance";"duration";"durationMoving";"avgSpeed";"avgSpeedMoving";"avgPace";"avgPaceMoving";"avgCadence";"avgCadenceMoving";"avgPower";"avgPowerMoving";"avgHeartRate";"avgHeartRateMoving";"avgHeartRateResting";"wrRatio";"sport"
"1";1;"2014-02-16 11:53:48";"2014-02-16 14:10:11";18.5153382115481;136.383333333333;109.383333333333;8.14557223042566;10.1562117265844;7.36596500561196;5.90771457067473;NA;NA;NA;NA;NA;NA;NA;4.05123456790124;"Run"
"2";1;"2014-02-21 08:35:56";"2014-02-21 09:28:42";8.28750061209999;52.7666666666667;52.1166666666667;9.42356355134553;9.54109440472017;6.3670181320561;6.28858676529988;NA;NA;NA;NA;NA;NA;NA;80.1794871794874;"Run"
"3";1;"2014-02-25 08:22:14";"2014-02-25 09:40:41";13.8832432020808;78.45;77.7166666666667;10.6181592367731;10.7183520324879;5.65069694869582;5.59787547732497;NA;NA;NA;NA;NA;NA;NA;105.977272727272;"Run"
"4";1;"2014-03-01 15:46:02";"2014-03-01 17:50:02";19.7314058189028;124;123.833333333333;9.54745442850136;9.56030429987215;6.28439763177986;6.2759508607694;NA;NA;NA;NA;NA;NA;NA;743.000000000003;"Run"
"5";1;"2014-03-04 08:50:28";"2014-03-04 09:05:58";2.32861969700576;15.5;15.3333333333333;9.01401173034488;9.11199011871819;6.65630374076564;6.58473058226279;NA;NA;NA;NA;NA;NA;NA;92.0000000000003;"Run"
"6";1;"2014-03-06 08:37:29";"2014-03-06 09:12:10";6.02990569474285;34.6833333333333;34.5166666666667;10.4313601638992;10.4817288754584;5.7518865284364;5.7242465162863;NA;NA;NA;NA;NA;NA;NA;207.100000000003;"Run"
"7";1;"2014-03-09 13:50:51";"2014-03-09 15:00:17";12.5300366950254;69.4333333333333;69.2666666666667;10.8276841339634;10.8537372719181;5.5413511566889;5.52804978569348;NA;NA;NA;NA;NA;NA;NA;415.600000000001;"Run"
"8";1;"2014-03-12 19:18:23";"2014-03-12 20:47:06";15.9078027036764;88.7166666666667;88.55;10.7586116350244;10.778861233434;5.5769277705565;5.56645073172397;NA;NA;NA;NA;NA;NA;NA;531.300000000002;"Run"
"9";1;"2014-03-23 12:57:26";"2014-03-23 14:50:12";20.1219246551421;112.766666666667;110.283333333333;10.7063152170428;10.94739742459;5.6041690146101;5.48075471026826;NA;NA;NA;NA;NA;NA;NA;44.4093959731543;"Run"
"10";1;"2014-03-31 07:25:58";"2014-03-31 08:23:04";9.88358635720432;57.1;56.9333333333333;10.3855548411954;10.415957519302;5.77725513152205;5.76039215682409;NA;NA;NA;NA;NA;NA;NA;341.59999999999;"Run"
"11";1;"2014-04-02 18:46:50";"2014-04-02 19:16:23";4.46481308634204;29.55;29.3833333333333;9.06561032759805;9.11703182690377;6.6184181573903;6.58108923377276;NA;NA;NA;NA;NA;NA;NA;176.299999999999;"Run"
"12";1;"2014-04-10 08:25:35";"2014-04-10 08:51:45";4.08146905372227;26.1666666666667;26;9.35878254356699;9.41877473935909;6.41109030161649;6.3702553315425;NA;NA;NA;NA;NA;NA;NA;155.999999999999;"Run"
"13";1;"2014-04-13 16:23:05";"2014-04-13 17:51:59";14.9296948374045;88.9;85.3833333333333;10.0762844796881;10.4912944397143;5.95457582811888;5.71902736547676;NA;NA;NA;NA;NA;NA;NA;24.2796208530805;"Run"
"14";1;"2014-04-23 05:39:23";"2014-04-23 07:40:12";19.4330865586217;120.816666666667;114.316666666667;9.6508637896314;10.1996080494297;6.21706007958192;5.88257898825388;NA;NA;NA;NA;NA;NA;NA;17.5871794871795;"Run"
"15";1;"2014-05-25 13:31:06";"2014-05-25 14:45:00";24.7518715026492;73.9;72.0166666666667;20.096242086048;20.6217860239613;2.98563282344491;2.9095443008808;NA;NA;NA;NA;NA;NA;NA;38.2389380530973;"Ride"
"16";1;"2014-05-25 14:49:29";"2014-05-25 16:12:25";13.9274376581169;82.9333333333333;81.3166666666667;10.0761204922067;10.2764450848987;5.95467273802515;5.83859491334902;NA;NA;NA;NA;NA;NA;NA;50.298969072165;"Run"
"17";1;"2014-05-30 08:29:49";"2014-05-30 08:52:43";3.67995574685967;22.9;22.7333333333333;9.64180545028734;9.71249317352992;6.22290091926838;6.17761051956483;NA;NA;NA;NA;NA;NA;NA;136.400000000002;"Run"
"18";1;"2014-06-01 11:18:05";"2014-06-01 13:03:01";34.7661790055226;104.933333333333;101.2;19.8790095965504;20.6123590941834;3.01825901882012;2.91087496224202;NA;NA;NA;NA;NA;NA;NA;27.1071428571429;"Ride"
"19";1;"2014-06-01 13:05:41";"2014-06-01 14:06:01";10.4419879267158;60.3333333333333;59.9166666666667;10.3842973856842;10.4565108584637;5.77795471099623;5.73805170884847;NA;NA;NA;NA;NA;NA;NA;143.800000000001;"Run"
"20";1;"2014-06-15 17:12:08";"2014-06-15 18:29:45";14.1468704730685;77.6166666666667;77.1333333333333;10.9359531249832;11.0044800568381;5.48649023219843;5.45232484316391;NA;NA;NA;NA;NA;NA;NA;159.586206896553;"Run"
"21";1;"2014-07-24 08:38:28";"2014-07-24 09:38:12";10.5747206874118;59.7333333333333;59.5666666666667;10.6219292619092;10.65164926544;5.64869135545492;5.63293049787831;NA;NA;NA;NA;NA;NA;NA;357.39999999999;"Run"
"22";1;"2014-07-27 11:08:34";"2014-07-27 13:32:50";22.3455068225209;144.266666666667;141.65;9.29341780973605;9.46509290046773;6.45618234629915;6.33908199644137;NA;NA;NA;NA;NA;NA;NA;54.1337579617832;"Run"
