"distance";"avgPaceMoving";"sport"
"1";18.5153382115481;5.90411395231686;"running"
"2";8.28750061209999;6.28858676529988;"running"
"3";2.32861969700576;6.5775732664125;"running"
"4";6.02990569474285;5.7242465162863;"running"
"5";12.5300366950254;5.52804978569348;"running"
"6";15.9078027036764;5.56435532395746;"running"
"7";20.1219246551421;5.47826985850299;"running"
"8";9.88358635720432;5.76039215682409;"running"
"9";4.46481308634204;6.58108923377276;"running"
"10";4.08146905372227;6.3702553315425;"running"
"11";14.9296948374045;5.70898027465316;"running"
"12";19.4330865586217;5.88257898825388;"running"
"13";38.6862203334779;3.96394371634428;"cycling"
"14";3.67995574685967;6.17761051956483;"running"
"15";45.2091224354711;3.56380876219474;"cycling"
"16";14.1468704730685;5.45114672630065;"running"
"17";10.5747206874118;5.63293049787831;"running"
"18";22.3455068225209;6.33908199644137;"running"
"19";8.44674579329633;5.37485099125763;"running"
"20";23.7389556388425;7.22230592652812;"running"
"21";4.62765165722752;6.05418660302789;"running"
"22";6.63415200381252;5.72291178207071;"running"
"23";22.0882826504046;5.5489450495791;"running"
"24";7.93849132222349;5.46703375218203;"running"
"25";7.97908154452063;5.36820348236041;"running"
"26";11.5437877044556;5.18749433604188;"running"
"27";10.4198970400522;5.41112192535166;"running"
"28";11.2646103906829;5.49656530667751;"running"
"29";14.8369483890399;5.74017408657831;"running"
"30";15.5517511857573;5.13982845909587;"running"
"31";31.3975751543808;6.5965816037793;"running"
"32";15.4658536934055;5.62529568200274;"running"
"33";16.2860466861703;5.676638522626;"running"
"34";30.5960619875656;6.27150426781446;"running"
"35";14.8323109755113;5.37003304013144;"running"
"36";13.0198678406722;5.69898257862571;"running"
"37";35.8549855615102;6.42263076464711;"running"
"38";16.763458421474;5.71381697768491;"running"
"39";16.7250253649858;5.30342992398058;"running"
"40";9.2954017655195;6.04420709836778;"running"
"41";15.2649837403674;5.99738601475879;"running"
"42";15.900835817128;5.85398996655672;"running"
"43";36.7146960160997;6.44201620416391;"running"
"44";31.8017471072693;6.08090280955443;"running"
"45";8.5305505125927;5.72843060884878;"running"
"46";15.9935525817666;5.3698721965778;"running"
"47";17.1371688215128;6.20094647916796;"running"
"48";4.72534804900354;7.71724458992107;"running"
"49";9.53512514663651;5.095196191575;"running"
"50";11.1164093713455;5.72127184915843;"running"
"51";18.6360459948016;5.16919379573354;"running"
"52";11.7641323679034;5.43318152735625;"running"
"53";11.2259293530843;5.70108700910505;"running"
"54";18.579811506555;5.51584354325538;"running"
"55";22.3568093772664;5.36078283701206;"running"
"56";11.937312782443;5.67408549711064;"running"
"57";9.62293631492867;5.5388499160399;"running"
"58";23.3198619317803;5.61609957425114;"running"
"59";11.104861083692;5.4255518863248;"running"
"60";24.5053739743408;5.94971536254313;"running"
"61";25.2985078540017;6.1828415956131;"running"
"62";21.8673646193934;5.76277337758876;"running"
"63";9.42889161351769;5.40890722795923;"running"
"64";28.9344711740229;2.21477465227934;"cycling"
"65";8.28707201154496;2.77540728111908;"running"
"66";13.9581616124881;5.6263378741131;"running"
"67";21.840884814431;5.69039827778475;"running"
"68";45.1687692366713;2.7275483056549;"cycling"
"69";14.9173877387278;5.98406827188095;"running"
"70";63.5838598868932;2.56721334036189;"cycling"
"71";15.3821676879457;5.82059272461946;"running"
"72";19.8901863108173;3.23693968106866;"cycling"
"73";19.692381744971;5.11026724124078;"running"
"74";62.6988881633986;2.44953838628019;"cycling"
"75";16.8076059182749;5.42710646062249;"running"
"76";23.8152473022353;6.14732226552435;"running"
"77";67.4434781390622;2.86610366685765;"cycling"
"78";19.6934277416696;5.43413102434315;"running"
"79";78.2785578480685;2.51707924558034;"cycling"
"80";19.7827291235483;6.25798388214472;"running"
"81";8.13871053149951;5.74620100882863;"running"
"82";8.30054533876618;5.86909229194188;"running"
"83";10.0414544320901;6.73873163736322;"running"
"84";26.0870034545489;6.26557206099877;"running"
"85";2.26052043840841;4.34265777909905;"running"
"86";14.5584148405276;5.5328825893713;"running"
"87";28.7993354454485;5.94747519982803;"running"
"88";10.4524844634882;5.68764299125879;"running"
"89";15.7077545880162;5.7031278933832;"running"
"90";32.4766119379509;6.07257515172656;"running"
"91";14.2583783399053;5.46111660179048;"running"
"92";14.1551557700705;6.06375053214311;"running"
"93";30.2539549323818;5.99921565314869;"running"
"94";14.685505998271;5.41123109248145;"running"
"95";13.4478515972136;5.356493772452;"running"
"96";35.4336542202751;5.82120786595703;"running"
"97";13.9413975617343;5.23979032062784;"running"
"98";14.1486001409032;5.13713954804673;"running"
"99";26.2663220049161;5.87317351237047;"running"
"100";10.5187924010286;5.506018605425;"running"
"101";15.288579076617;5.09203632396859;"running"
"102";7.98226154822935;5.21364357898022;"running"
"103";12.1126056054101;6.18914452503785;"running"
"104";9.07047155807951;5.52157988839309;"running"
"105";11.2608320178968;5.42144664825596;"running"
"106";9.55703592125923;5.38521222382153;"running"
"107";8.999485980131;5.57439244612684;"running"
"108";17.615164324419;5.49337291917988;"running"
"109";12.6725814501218;5.30147181122972;"running"
"110";22.4753523016716;5.64470202574893;"running"
"111";9.62086050474099;5.27326358264241;"running"
"112";15.531466763189;5.9052160407698;"running"
"113";18.2579107817742;6.36710308147882;"running"
"114";10.8662457340131;5.18578369929694;"running"
"115";13.4183865665449;5.40303408613663;"running"
"116";20.1599002626302;5.32658058494398;"running"
"117";10.1138697942855;4.88602954870824;"running"
"118";21.3432722729498;4.50337068456385;"running"
"119";9.44805092415843;5.67665582709702;"running"
"120";19.2763990170328;6.31860753102155;"running"
